Name,Price,Description,Category,Rating,Image_url
organza three piece,2800,cotton kameez & salwar with organa orna,Three Piece,4.5,black organza three piece.jpg
moslin silk dress,1950,moslin silk,Three Piece,4.3,Muslin silk base three piece set.jpg
pakintani inspired,3280,cotton kameez & salwar with organa orna,Three Piece,4.7,Pakistani Design Boutique Three Piece.jpg
sadabahar inspired,1570,cotton lawn,Three Piece,5,sadabahar inspired three piece.jpg
hand stitch embroidery ,2220,cotton,Three Piece,4.8,embroidered hand loome shalwar kameez.jpg
Embroidery Worked Printed,1250,cotton printed,Three Piece,4.4,cotton piece.jpeg
arong boutique,1480,cotton unstich,three Piece,4.5,cotton boutique unstich.jpg
Red color handbag,990,pure leather,hand bag,5,red bag.jpg
vintage design Louis Vuitton ,1670,pure leather,hand bag,4.7,LV.jpg
Vintage Flower Pattern,2250,Vintage Flower Pattern,tote bag,4.5,vintage bag.jpg
Women Backpack,1700,PU Leather ,backpack,4.3,backpack.jpg
Women Luxury Designer Crossbody Bag,3240,Crocodile Leather,crossbody handbag,5,crossbody bag.jpeg
south indian inspired neckpiece,8500,916 silver,neckpiece+earrings ,4.4,silver-jewellery-je3xulzy.jpg
semi bridal oxidized silver polish,1320,oxidized silver polish,semi bridal,4.8,oxidise set.jpeg
18k gold polished finger ring set,850,18k gold polish,finger ring,5,Gold-PlatedAdjustableFingerRing.jpg
diamond cut set ,1550,AD stone diamond cut,neckpiece set,5,necklace.jpg
bridal-traditional-wedding-ornament-exclusive,2500,Gold plated,choker-necklace-earr.,4.6,jewellery-for-women--fashion-party-.jpeg
aawiya-hit-designer-festival-wear-lehenga combo for mother daughter,2300,samu silk,combo(mother+daughter),4.5,designer festiva wear lehenga combo for mother daughter.jpeg
pakistani imported designer dress,3200,silk jorjet,combo(mother+daughter),4.7,f6b0c5a29f83b136882c142acb4d0f50.jpg
traditional birthday gown,4200,rayon silk,combo(mother+daughter),4.4,gown3a92f851ff621b684e5bc5d6964731d9.jpg